Starting Nmap 7.94SVN ( https://nmap.org ) at 2024-09-22 14:21 EDT
Nmap scan report for 115.243.113.46
Host is up (0.29s latency).

PORT      STATE    SERVICE    VERSION
1/tcp     open     ftp        Microsoft ftpd
3/tcp     open     ftp        Microsoft ftpd
4/tcp     open     ftp        Microsoft ftpd
6/tcp     open     ftp        Microsoft ftpd
7/tcp     open     ftp        Microsoft ftpd
9/tcp     open     ftp        Microsoft ftpd
13/tcp    open     ftp        Microsoft ftpd
17/tcp    open     ftp        Microsoft ftpd
19/tcp    open     ftp        Microsoft ftpd
20/tcp    open     ftp        Microsoft ftpd
21/tcp    open     ftp        Microsoft ftpd
22/tcp    open     ftp        Microsoft ftpd
23/tcp    open     ftp        Microsoft ftpd
24/tcp    open     ftp        Microsoft ftpd
25/tcp    filtered smtp
26/tcp    open     ftp        Microsoft ftpd
30/tcp    open     ftp        Microsoft ftpd
32/tcp    open     ftp        Microsoft ftpd
33/tcp    open     ftp        Microsoft ftpd
37/tcp    open     ftp        Microsoft ftpd
42/tcp    open     ftp        Microsoft ftpd
43/tcp    open     ftp        Microsoft ftpd
49/tcp    open     ftp        Microsoft ftpd
53/tcp    open     ftp        Microsoft ftpd
70/tcp    open     ftp        Microsoft ftpd
79/tcp    open     ftp        Microsoft ftpd
80/tcp    open     ftp        Microsoft ftpd
81/tcp    open     ftp        Microsoft ftpd
82/tcp    open     ftp        Microsoft ftpd
83/tcp    open     ftp        Microsoft ftpd
84/tcp    open     ftp        Microsoft ftpd
85/tcp    open     ftp        Microsoft ftpd
88/tcp    open     ftp        Microsoft ftpd
89/tcp    open     ftp        Microsoft ftpd
90/tcp    open     ftp        Microsoft ftpd
99/tcp    open     ftp        Microsoft ftpd
100/tcp   open     ftp        Microsoft ftpd
106/tcp   open     ftp        Microsoft ftpd
109/tcp   open     ftp        Microsoft ftpd
110/tcp   open     ftp        Microsoft ftpd
111/tcp   open     ftp        Microsoft ftpd
113/tcp   open     ftp        Microsoft ftpd
119/tcp   open     ftp        Microsoft ftpd
125/tcp   open     ftp        Microsoft ftpd
135/tcp   open     ftp        Microsoft ftpd
139/tcp   open     ftp        Microsoft ftpd
143/tcp   open     ftp        Microsoft ftpd
144/tcp   open     ftp        Microsoft ftpd
146/tcp   open     ftp        Microsoft ftpd
161/tcp   open     ftp        Microsoft ftpd
163/tcp   open     ftp        Microsoft ftpd
179/tcp   open     ftp        Microsoft ftpd
199/tcp   open     ftp        Microsoft ftpd
211/tcp   open     ftp        Microsoft ftpd
212/tcp   open     ftp        Microsoft ftpd
222/tcp   open     ftp        Microsoft ftpd
254/tcp   open     ftp        Microsoft ftpd
255/tcp   open     ftp        Microsoft ftpd
256/tcp   open     ftp        Microsoft ftpd
259/tcp   open     ftp        Microsoft ftpd
264/tcp   open     ftp        Microsoft ftpd
280/tcp   open     ftp        Microsoft ftpd
301/tcp   open     ftp        Microsoft ftpd
306/tcp   open     ftp        Microsoft ftpd
